Timestamp,What faculty are you in?,What genres of music do you regularly listen to? (Please select all that apply),Do you listen to music when you study?,What music streaming service do you primarily use?,Who is your favourite artist/band right now?,"What is your favourite song right now? (Please follow an ""Artist - Song Title"" format)","What is your favourite album right now? (Please follow an ""Artist - Album"" format)",Have you attended any concerts / live music events in the past year?
5/10/2023 21:54:04,Mathematics,"R&B, Pop, Indie, K-Pop",Yes,Spotify,Joji,FIFTY FIFTY - Cupid,Joji - Smithereens,No
5/10/2023 21:59:31,Mathematics,"Hip-Hop / Rap, Pop, Indie, K-Pop, Rock",No,Spotify,Pink Floyd,Eagles - Hotel California,Pink Floyd - Wish You Were Here,No
5/10/2023 21:59:37,Mathematics,"Hip-Hop / Rap, Pop, EDM, K-Pop",Yes,YouTube Music,MCK,Vân rung - Gill,,Yes
5/10/2023 22:10:06,Mathematics,"Hip-Hop / Rap, R&B, Pop, Indie, Rock",Yes,Spotify,Polo g,Lil uzi vert - Futsal shuffle,Blink182 - Enema of the state,No
5/10/2023 22:30:48,,"Hip-Hop / Rap, R&B, Pop, Indie, K-Pop, Jazz, Lofi",Yes,Spotify,,,,Yes
5/10/2023 23:04:22,Mathematics,"Pop, Indie, EDM, Classical, Jazz, Lofi, Video Game Music",Yes,Spotify,YOASOBI,Celeina Ann - Message In the Wind,,No
5/11/2023 11:30:06,Mathematics,"Hip-Hop / Rap, R&B, Pop",Yes,Spotify,The Weeknd,Tyler the Creator - SWEET / I THOUGHT YOU WANTED TO DANCE,JID - The Forever Story,Yes
5/11/2023 14:29:57,Science,"Hip-Hop / Rap, Pop",Sometimes,Apple Music,Beyonce,Laura Branigan - Gloria,Beyonce - RENAISSANCE,Yes
5/11/2023 21:23:21,Mathematics,"Hip-Hop / Rap, Pop, Indie, EDM, Jazz, Lofi",Yes,Spotify,atarashii gakko,mokita - colorblind,atarashii gakko - ichijikikoku,No
5/11/2023 21:24:54,Engineering,"K-Pop, Lofi",Sometimes,Spotify,BTS,V/Taehyung- Sweet Night,,No
5/11/2023 21:25:26,Engineering,"Classical, Jazz",Yes,Apple Music,fox capture plan,Gecko & Tokage Parade - Run & Gun,Gecko & Tokage Parade - Heart of Tokage,No
5/11/2023 21:26:37,Arts,Indie,Yes,YouTube Music,Car Seat Headrest,Calamine - Flicker,Pepper Coyote - Muh,Yes
5/11/2023 21:27:39,Arts,"Hip-Hop / Rap, R&B, Pop, Indie, Rock",No,Spotify,,,,No
5/11/2023 21:31:41,Environment,"Hip-Hop / Rap, EDM, Rock, Jungle, garage, metal, dnb",Yes,Spotify,Bladee,Bladee - decay,Bladee - red light,Yes
5/11/2023 21:41:01,Arts,"Pop, Indie, Rock, Sea shanties",Sometimes,Spotify,Hozier,Gang of Youths - Achilles Come Down,Hozier - Eat Your Young,No
5/11/2023 21:43:35,Engineering,Pop,Yes,Spotify,Taylor Swift,Taylor Swift - Ivy,Taylor Swift - Evermore,Yes
5/11/2023 21:44:23,Mathematics,"Indie, Bedroom Pop, Indie Alt, Indie Rock",No,Spotify,Vansire ,Weston Estate - Pears,EDEN - ICYMI,Yes
5/11/2023 21:45:18,Engineering,"Hip-Hop / Rap, R&B, Indie",Yes,Spotify,"Tyler, The Creator",BETWEEN FRIENDS - Redlight,"Tyler, The Creator - CALL ME IF YOU GET LOST",No
5/11/2023 21:47:34,Mathematics,"Indie, Rock, Metal",Yes,Spotify,Between The Buried and Me,Gatherers - massalette,Architects - Holy Hell,Yes
5/11/2023 21:49:25,Mathematics,"Hip-Hop / Rap, Pop, Indie, Rock",Sometimes,Apple Music,Rush,Kendrick Lamar - m.A.A.d city,Lorde - Melodrama,
5/11/2023 21:56:44,Mathematics,K-Pop,Sometimes,YouTube Music,Red Velvet,LE SSERAFIM - No Celestial,Red Velvet - Queendom,No
5/11/2023 21:59:18,Mathematics,"Hip-Hop / Rap, R&B, Pop, Indie, Rock",Yes,Spotify,,,,Yes
5/11/2023 22:03:00,Mathematics,"Hip-Hop / Rap, R&B, Pop, Indie, Classical, Jazz, Lofi",Yes,Spotify,Mac Miller,wave to earth - calla,C418 - Minecraft Volume Alpha,Yes
5/11/2023 22:09:09,Mathematics,"Indie, EDM",Yes,Spotify,Odesza,Illenium - You Were Right,Odesza - The Last Goodbye,No
5/11/2023 22:10:03,Environment,"Hip-Hop / Rap, R&B, Pop, Indie, K-Pop",Yes,Spotify,Keshi,DPR IAN - Blueberries,Lauv - I met you when I was 18,Yes
5/11/2023 22:12:11,Engineering,"EDM, Rock, Metal, Alternative ",Yes,Apple Music,Pink Floyd,Pink Floyd - Comfortably Numb,Pink Floyd - The Wall,No
5/11/2023 22:12:42,Mathematics,"Hip-Hop / Rap, Pop, Indie, Rock, Lofi",Yes,YouTube Music,The strokes ,More like you - braver shores ,tame Impala - Currents,No
5/11/2023 22:16:32,Mathematics,"Hip-Hop / Rap, Pop, Indie, EDM, Rock",Yes,Spotify,Boards of Canada,Clams Casino - I'm God,Parannoul - After the Magic,Yes
5/11/2023 22:18:13,Mathematics,"Hip-Hop / Rap, R&B, Pop, Country, Rock, Jazz",No,Apple Music,ABBA,Bay City Rollers - Saturday Night,ABBA - Ring Ring,No
5/11/2023 22:24:37,Mathematics,"Hip-Hop / Rap, japanese",Sometimes,Spotify,J Cole,jcole - sacrifices,jcole - the off season,No
5/11/2023 22:28:33,Science,"Hip-Hop / Rap, R&B, Jazz",Yes,Spotify,Freddie Gibbs,Lil Wayne - Shooter,Freddie Gibbs and Madlib - Pinata,Yes
5/11/2023 22:38:00,Engineering,"Pop, Country, EDM",No,Spotify,Morgan Wallen,Morgan Wallen - 180,Morgan Wallen - one thing at a time ,No
5/11/2023 22:39:02,Health,"Pop, Classical, Rock",Sometimes,Spotify,,,,No
5/11/2023 22:41:53,Engineering,Rock,Sometimes,Spotify,CAKE,CAKE - Stickshifts and safety belts ,CAKE - Motorcades of generosity ,No
5/11/2023 22:57:14,Mathematics,"Hip-Hop / Rap, R&B, Indie, K-Pop",Yes,Spotify,NewJeans,NewJeans - Ditto,CHANGMO - DNSG,No
5/11/2023 22:59:05,Science,"Hip-Hop / Rap, Pop, Indie, Rock, Lofi",Yes,Spotify,The 1975,The Alcott - The national,When We Were Friends-The Backseat Lovers,Yes
5/11/2023 23:05:27,Science,"EDM, Classical",No,Spotify,Oliver Heldens,"Debris, Our Psyche - Omerta",Martin Garrix - Sentio,No
5/11/2023 23:12:40,Mathematics,"R&B, Pop, EDM, K-Pop, Rock, Musicals",Yes,Spotify,NewJeans,Hozier - Eat Your Young ,JVKE - this is what ____ feels like,No
